gene,viewField,nucleusIDX,nascentRNA,PCNA,Ratio
APEX1,0,1,33236047,21828922,0.6065079163040294
APEX1,0,2,39252097,35907190,0.12849697446393277
APEX1,0,3,32365144,34919788,-0.10960387753985815
APEX1,0,4,22076225,16242736,0.4426988275292978
APEX1,0,5,29677365,20302635,0.5476960220022992
APEX1,0,6,6273607,11136332,-0.8279070652215162
APEX1,0,7,15850323,9354608,0.7607631356391955
APEX1,0,8,6452756,6190102,0.05995229120520583
APEX1,0,9,8631322,7647256,0.17463937333174853
APEX1,0,10,17287479,8233757,1.0701047222158317
APEX1,0,11,22597174,9406755,1.2643733258615175
APEX1,0,12,15713563,6063640,1.3737543362406708
APEX1,0,13,10474284,12565293,-0.26259268496067845
APEX1,0,14,12121656,13427770,-0.14763292484141918
APEX1,0,15,9355549,5475889,0.7727291133407678
APEX1,0,16,6982680,10795550,-0.6285839821105595
APEX1,0,17,13029402,14072848,-0.11114345307812719
APEX1,0,18,20702259,8028709,1.3665482719813975
APEX1,0,19,15851293,18274340,-0.2052187757217466
APEX1,0,20,27332919,28252729,-0.04775068799285441
APEX1,0,21,10589993,9540392,0.15058118503066906
APEX1,0,22,17948463,13811756,0.3779635527647624
APEX1,0,23,8895525,6059554,0.5538681423695574
APEX1,0,24,10526495,8036383,0.3894069159655807
APEX1,0,25,8238098,7979282,0.04605235432428943
APEX1,0,26,12555551,9210142,0.4470300378653181
APEX1,0,27,14862618,20826402,-0.4867253546543422
APEX1,0,28,13556259,12898339,0.07177381298094469
APEX1,0,29,16170284,7764763,1.0583312214693859
APEX1,0,30,15415851,5676816,1.4412606465442441
APEX1,0,31,13420586,7381276,0.8625055257112826
APEX1,0,32,15780397,6776866,1.2194433506158755
APEX1,0,33,20788017,8754979,1.2475765206477372
APEX1,0,34,14337067,8162849,0.8126052403825508
APEX1,0,35,14731561,10727981,0.45753172348525545
APEX1,0,36,10162715,10032923,0.018543890795126642
APEX1,0,37,12043816,9083165,0.40702557976076564
APEX1,0,38,7051806,7702811,-0.1273922413886521
APEX1,0,39,7944226,8402211,-0.08086235014718046
APEX1,0,40,5533479,9792033,-0.8234216054260968
APEX1,0,41,7681063,8468518,-0.14080353576855978
APEX1,0,42,5669660,7252251,-0.35516663578067187
APEX1,0,43,7772463,9687326,-0.3177266485937323
APEX1,0,44,12769831,12243749,0.060694057420794874
APEX1,0,45,10667296,11117339,-0.05961699101228176
APEX1,0,46,10992672,12450852,-0.17970236165581716
APEX1,0,47,19921723,17300783,0.20350509640786865
APEX1,0,48,13086519,11970119,0.12864389818943442
APEX1,0,49,20767046,13477434,0.6237501706070484
APEX1,0,50,7969559,10000670,-0.3275248581288156
APEX1,0,51,10977318,19114802,-0.8001646408486566
APEX1,0,52,17133100,13714982,0.32103348222005257
APEX1,0,53,22540831,18404898,0.29245094918445813
APEX1,0,54,10064418,11382558,-0.1775610634079044
APEX1,0,55,21218088,20564779,0.04511909031265306
APEX1,0,56,14665262,11456811,0.35619731934356236
APEX1,0,57,8896043,10213667,-0.19926526158876584
APEX1,0,58,22359354,19917124,0.16686916720424394
APEX1,0,59,13493543,6330654,1.0918427537450488
APEX1,0,60,23934020,18419781,0.37780682605543453
APEX1,0,61,15144222,13756444,0.13865987901608356
APEX1,0,62,6642714,8352542,-0.33044253107539445
APEX1,0,63,6894874,7026454,-0.027272608842614364
APEX1,0,64,5467435,5994265,-0.13271870146532516
APEX1,0,65,9225761,9610791,-0.05898725564517179
APEX1,0,66,5398578,6713627,-0.31451293753272647
APEX1,0,67,22144825,21554481,0.038981771363465055
APEX1,0,68,7166741,7702552,-0.10401929927459852
APEX1,0,69,18407209,17356581,0.08478810875882477
APEX1,0,70,21965359,18149166,0.27532682464647
APEX1,0,71,12450425,11267953,0.1439695388968211
APEX1,0,72,25750097,27721286,-0.10641631924329231
APEX1,0,73,10853659,8365852,0.37559710729453355
APEX1,0,74,7168299,13015350,-0.8605113876080979
APEX1,0,75,11582501,15315500,-0.4030456599582545
APEX1,0,76,11075107,10935071,0.018358049517678478
APEX1,0,77,10469917,15907619,-0.6034679086014952
APEX1,0,78,8619044,6580000,0.38944027457129765
APEX1,0,79,16770856,13289260,0.3356955555424774
APEX1,0,80,20643901,14726453,0.4873056311486146
APEX1,0,81,17087014,8024340,1.0904456634278787
APEX1,0,82,6255146,7172907,-0.1975143672801939
APEX1,0,83,18795569,14135341,0.41108590381709564
APEX1,0,84,10398500,11450149,-0.1389909397919642
APEX1,0,85,6585380,9274654,-0.49402677004170964
APEX1,0,86,9483558,11118123,-0.22941291800891728
APEX1,0,87,25886791,22866752,0.17896467626955548
APEX1,0,88,9848103,10368807,-0.07433215609924086
APEX1,0,89,8245049,5796655,0.5083074444015275
APEX1,0,90,25897021,22400048,0.20928432681817508
APEX1,0,91,8230178,8816417,-0.09926882910304861
APEX1,0,92,10017325,15801143,-0.6575316152527394
APEX1,0,93,12831285,11384370,0.17261120125171617
APEX1,0,94,12035640,9340462,0.3657470440274717
APEX1,0,95,16694295,13540627,0.3020606250940948
APEX1,0,96,12732002,10304825,0.30513928395814605
APEX1,0,97,14145076,5207083,1.4417526198702957
APEX1,0,98,12425761,11775271,0.07757394764121331
APEX1,0,99,27097923,19603776,0.46705070902557855
APEX1,0,100,23662394,16641830,0.5077819565989966
APEX1,0,101,13888814,10402864,0.4169426396090241
APEX1,0,102,14735154,12757036,0.20796896958124395
APEX1,0,103,13751600,16707888,-0.28092989154237946
APEX1,0,104,9802780,12818975,-0.38701805865106004
APEX1,0,105,16843821,15270698,0.14145344211765115
APEX1,0,106,11903015,15180332,-0.3508762930307706
APEX1,0,107,6588454,7121961,-0.11233456316065564
APEX1,0,108,18407231,6720564,1.453618402006257
APEX1,0,109,42960436,35864369,0.2604573870008229
APEX1,0,110,26193729,22648629,0.20979773813660277
APEX1,0,111,17937457,17092405,0.06961996652477946
APEX1,0,112,15912246,9475114,0.7479222789093034
APEX1,0,113,15002938,13750082,0.1258048265995979
APEX1,0,114,16459836,14023473,0.23110627535987988
APEX1,0,115,12772920,12436528,0.03850460176580479
APEX1,0,116,5794595,8885035,-0.6166696284645611
APEX1,0,117,14977050,6324507,1.2437285568251903
APEX1,0,118,15537212,14083911,0.14167963395577324
APEX1,0,119,14270243,9734943,0.5517654650505394
APEX1,0,120,15282739,11523362,0.40734143707327625
APEX1,0,121,7236134,5457950,0.4068599460692924
APEX1,0,122,22796848,18068781,0.3353351854528485
APEX1,0,123,14748981,5535000,1.4139600606919653
APEX1,0,124,18149688,12574008,0.5295001618412531
APEX1,0,125,21428278,16494898,0.3774960614181243
APEX1,0,126,5846805,7288598,-0.3179928552858556
APEX1,0,127,6852889,9347871,-0.4479255060962246
APEX1,0,128,11445552,8355370,0.45401142183033066
APEX1,0,129,10475854,6857262,0.6113633079880039
APEX1,0,130,14276644,13165349,0.11691111971138057
APEX1,0,131,15195177,12890664,0.2372869010470113
APEX1,0,132,6725671,8558372,-0.3476581806090327
APEX1,0,133,43218480,34678577,0.31760363304652117
APEX1,0,134,13671715,14846495,-0.11892814786468117
APEX1,0,135,12832817,12512560,0.03646091180078398
APEX1,0,136,22629433,20396079,0.14990860601540063
APEX1,0,137,18144318,15643188,0.2139832741791743
APEX1,0,138,30483024,14069536,1.115431278615084
APEX1,0,139,20306739,15459643,0.3934515756640092
APEX1,0,140,7635484,7845153,-0.03908197376952809
APEX1,0,141,15174728,22359858,-0.5592403690656473
APEX1,0,142,8438564,7773987,0.11834281962721421
APEX1,0,143,14480433,16119600,-0.15471120139709543
APEX1,0,144,14000414,18000177,-0.36254160389362583
APEX1,0,145,11585829,17758509,-0.6161491815038476
APEX1,0,146,9011484,6128929,0.5561297147074482
APEX1,0,147,11320620,7255339,0.6418380431032387
APEX1,0,148,9873686,14797338,-0.5836769915999823
APEX1,0,149,10394914,8234533,0.3361190837216969
APEX1,0,150,16842294,13416494,0.328080938138424
APEX1,0,151,10599207,12310565,-0.21594064577686653
APEX1,0,152,6432796,7680793,-0.2558093310800475
APEX1,0,153,9152807,10790952,-0.23753598318017718
APEX1,0,154,19602223,17364529,0.1748739939628183
APEX1,0,155,25793855,22372154,0.20532323973231528
APEX1,0,156,22479160,13921563,0.6912669316589121
APEX1,0,157,12771878,9145632,0.48181590255370443
APEX1,0,158,5800989,7049254,-0.28117170614139
APEX1,0,159,8559398,9212961,-0.10615557338313347
APEX1,0,160,22476096,19727161,0.18820811941628426
APEX1,0,161,5453081,6043170,-0.1482339415722488
APEX1,0,162,17790315,17512028,0.02274588920939378
APEX1,0,163,12633375,12438573,0.022419122349999605
APEX1,0,164,15320366,13613613,0.17040076000745846
APEX1,0,165,10595132,5731625,0.8863854343585009
APEX1,0,166,15010094,14237237,0.07626382006806506
APEX1,0,167,26593603,23448881,0.18156017433197924
APEX1,0,168,5469465,12115751,-1.1474122069419923
APEX1,0,169,10677026,9884953,0.11120384034371888
APEX1,0,170,17774639,10431805,0.7688314523681488
APEX1,0,171,8423712,7766558,0.1171807490554777
APEX1,0,172,9631552,5276194,0.8682706765265946
APEX1,0,173,11061274,5409557,1.031935201190243
APEX1,0,174,13679144,14276391,-0.06165336589176236
APEX1,0,175,13289243,13228065,0.006656886423603158
APEX1,0,176,18543155,14605108,0.3444137037775004
APEX1,0,177,14591280,14794552,-0.01995956309454134
APEX1,0,178,17254958,10426405,0.7267691564103451
APEX1,0,179,6317092,8362526,-0.40467820796044235
APEX1,0,180,7499293,11184163,-0.5766307958176203
APEX1,1,1,48712300,41772897,0.2217189034927662
APEX1,1,2,11978805,9734429,0.29931573146964985
APEX1,1,3,10697262,10333963,0.0498479578322495
APEX1,1,4,27644217,22790443,0.2785487411608619
APEX1,1,5,21810468,21811245,-5.139523277722153e-05
APEX1,1,6,10266905,9937430,0.04705664296412923
APEX1,1,7,12171544,11446298,0.08863111772201553
APEX1,1,8,6321169,7238928,-0.19558468032461682
APEX1,1,9,15512890,5262373,1.5596820644296676
APEX1,1,10,15246878,15645222,-0.037208268022770594
APEX1,1,11,5934374,7900696,-0.4128838987964434
APEX1,1,12,6449170,7830036,-0.27990544112100757
APEX1,1,13,6662680,5599765,0.25073632023909315
APEX1,1,14,7631117,11506452,-0.5924768976223577
APEX1,1,15,11516708,15058218,-0.3868226628581098
APEX1,1,16,13683481,11377942,0.2661956584483045
APEX1,1,17,16452393,16325670,0.011155238461633039
APEX1,1,18,7055387,7573024,-0.1021442815503606
APEX1,1,19,13549606,5269006,1.3626481733456157
APEX1,1,20,13547562,5602089,1.2739964408851139
APEX1,1,21,15767324,16427805,-0.05920189810190866
APEX1,1,22,8356368,8034069,0.056745175684537026
APEX1,1,23,10071092,12302895,-0.2887777147291412
APEX1,1,24,11829019,11175448,0.08199776641501044
APEX1,1,25,8811033,6910233,0.3505768133415219
APEX1,1,26,9279009,9871644,-0.08931963421069676
APEX1,1,27,14210341,16567595,-0.2214230171890187
APEX1,1,28,13418293,8025622,0.7415160385210773
APEX1,1,29,9667352,12365087,-0.3550797124810244
APEX1,1,30,5796109,5995290,-0.04874481430071204
APEX1,1,31,18987822,22472230,-0.24306886492574042
APEX1,1,32,13085219,12101666,0.11273239750480782
APEX1,1,33,5475871,5275165,0.053872240068332
APEX1,1,34,11049276,6454054,0.775674286840307
APEX1,1,35,11644482,15641662,-0.42574735062939095
APEX1,1,36,9861905,19899410,-1.0127873962663687
APEX1,1,37,9793309,11378202,-0.21640428836212344
APEX1,1,38,11898926,15509800,-0.3823487214375216
APEX1,1,39,10471211,20372544,-0.9601978463667871
APEX1,1,40,16766520,14660658,0.19363342326018426
APEX1,1,41,12094509,13146160,-0.120289247590791
APEX1,1,42,11034661,7505198,0.5560802704864533
APEX1,1,43,18462255,15508524,0.2515173894763062
APEX1,1,44,6640685,11826215,-0.8325844393248052
APEX1,1,45,8310818,5535254,0.5863409621234819
APEX1,1,46,20391986,13824045,0.5608224691198646
APEX1,1,47,16982850,15790905,0.10498473048937464
APEX1,1,48,13616946,10542135,0.3692361008039106
APEX1,1,49,19996474,21228598,-0.08626346406012783
APEX1,1,50,12569398,16760123,-0.415117181963133
APEX1,1,51,5533471,5734942,-0.051594166853839475
APEX1,1,52,19255855,5987617,1.6852433362455066
APEX1,1,53,6706211,7630373,-0.18625570699758534
APEX1,1,54,15442991,13999154,0.1416125564488772
APEX1,1,55,7831081,7955232,-0.022692534329673587
APEX1,1,56,16437812,12169770,0.4337163755243629
APEX1,1,57,9016593,10604569,-0.234031680424919
APEX1,1,58,23137599,24894776,-0.10560387123715471
APEX1,1,59,12688431,11568167,0.13335339784132816
APEX1,1,60,17201969,16223788,0.08446300495961383
APEX1,1,61,16234805,13937707,0.2200968243776039
APEX1,1,62,15917868,18475565,-0.21497136620169013
APEX1,1,63,5729307,11058214,-0.9486858457652486
APEX1,1,64,11525917,11983390,-0.05615455633577583
APEX1,1,65,5854757,6971692,-0.25189954121225505
APEX1,1,66,14010921,11709221,0.25890669531781546
APEX1,1,67,16306483,12101417,0.4302696656362835
APEX1,1,68,7683638,5650978,0.443288978171598
APEX1,1,69,5671709,8293405,-0.5481810328917809
APEX1,1,70,17241651,6649371,1.3746081486097093
APEX1,1,71,11321642,13611561,-0.26574931712964706
APEX1,1,72,10933806,7182629,0.6062117790411423
APEX1,1,73,14535734,17619759,-0.2775902674640964
APEX1,1,74,25383498,22804029,0.15460215373959774
APEX1,1,75,11717411,12832803,-0.13118248813179012
APEX1,1,76,14937641,8233497,0.859375111626024
APEX1,1,77,15593008,10928170,0.512847429156074
APEX1,1,78,15900963,7238696,1.1353124066891775
APEX1,1,79,20251189,11967779,0.7588511754469843
APEX1,1,80,12825630,10134809,0.339710793204656
APEX1,1,81,15911985,16694318,-0.06924333602846104
APEX1,1,82,15058226,14865457,0.01858800118584665
APEX1,1,83,15393861,19446846,-0.3371810641486198
APEX1,1,84,6257174,8817173,-0.49480494364562944
APEX1,1,85,9622560,6782749,0.504550655830043
APEX1,1,86,17817143,15585586,0.19305361789826933
APEX1,1,87,11637045,10259759,0.18172791787847506
APEX1,1,88,8764968,15974951,-0.8659907770222873
APEX1,1,89,8829481,10337067,-0.22742635556499652
APEX1,1,90,15905073,13813803,0.20337643898081811
APEX1,1,91,11493144,7426324,0.6300533431160356
APEX1,1,92,8038727,8356397,-0.05591397772637145
APEX1,1,93,5603872,7701538,-0.45872257827142016
APEX1,1,94,8336154,8336411,-4.4476974663133695e-05
APEX1,1,95,6185505,9004829,-0.5418074946671739
APEX1,1,96,11718183,14613799,-0.3185823841356854
APEX1,1,97,7908125,7181087,0.1391334341494659
APEX1,1,98,18288175,15385127,0.24937476114355794
APEX1,1,99,7048478,9093919,-0.367590388513428
APEX1,1,100,11063337,15263023,-0.46425412434800123
APEX1,1,101,6581530,10121241,-0.6208912850912192
APEX1,1,102,25096245,12229927,1.037055726057459
APEX1,1,103,6248221,5203484,0.26396757734088083
APEX1,1,104,15128375,5264671,1.5228417479295058
APEX1,1,105,8030486,10990115,-0.45264727615241657
APEX1,1,106,10583595,16953386,-0.6797436826231761
APEX1,1,107,10989090,10326039,0.08978497043720063
APEX1,1,108,16441894,12167200,0.4343792944315811
APEX1,1,109,31654719,19919169,0.6682631273332477
APEX1,1,110,21055536,16462640,0.35500389256110954
APEX1,1,111,15655225,17297203,-0.14389452608245587
APEX1,1,112,9691433,10086441,-0.05763530229531324
APEX1,1,113,11765526,14330140,-0.28448688384587456
APEX1,1,114,11724857,6333481,0.8884997722740724
APEX1,1,115,17624618,7834659,1.1696496000222585
APEX1,1,116,8756508,9674272,-0.14379744744688738
APEX1,1,117,6648605,7704100,-0.21257476130336836
APEX1,1,118,8879139,16234798,-0.8705977421588601
APEX1,1,119,8485930,8221479,0.04567482760235896
APEX1,1,120,12895016,9881125,0.38406635115248533
APEX1,1,121,11530031,10852133,0.08741775785594882
APEX1,1,122,5532438,6317853,-0.19151899135203196
APEX1,1,123,9546533,8036383,0.2484305648419033
APEX1,1,124,11176986,15383085,-0.46081365583866357
APEX1,1,125,6135335,10859813,-0.823785236123072
APEX1,1,126,6058010,7760921,-0.3573839097288965
APEX1,1,127,16191026,14412332,0.16789061893119453
APEX1,1,128,15256882,15315493,-0.005531654157403778
APEX1,1,129,10136378,10461236,-0.04551108600804653
APEX1,1,130,16181036,14528040,0.15546390017863948
APEX1,1,131,11840294,9215780,0.3615267220525822
APEX1,1,132,13282095,10131493,0.39063593391946416
APEX1,1,133,9856281,13078821,-0.4081172012941285
APEX1,1,134,9482282,11645229,-0.29643280590210175
APEX1,1,135,8291615,6007334,0.46492825206446864
APEX1,1,136,7505183,5657623,0.4076912048651904
APEX1,1,137,7967011,10986281,-0.46359262581066923
APEX1,1,138,12827955,13689645,-0.09379383712052876
APEX1,1,139,6783774,8357148,-0.3009225777171591
APEX1,1,140,16962089,18198565,-0.10151083614744288
APEX1,1,141,11524409,19592503,-0.7656089503164323
APEX1,1,142,13304115,11251239,0.24178866285683176
APEX1,1,143,9933086,8357155,0.2492301085203094
APEX1,1,144,21286962,16109619,0.4020476941050537
APEX1,1,145,7361552,6712604,0.13313741939240295
APEX1,1,146,6518309,6586919,-0.015106064709305502
APEX1,1,147,8036390,10866212,-0.4352296156090247
APEX1,1,148,8942658,9007164,-0.010369226717828764
APEX1,1,149,9156131,8754469,0.06471842916202677
APEX1,1,150,6847528,10196783,-0.5744589003951334
APEX1,1,151,6910236,11381542,-0.7198891430203516
APEX1,1,152,17413690,21409853,-0.29805294451512926
APEX1,1,153,12820773,8231462,0.639262651326015
APEX1,1,154,14007592,10132516,0.4672165145184025
APEX1,1,155,12962861,19846969,-0.6145345310096727
APEX1,1,156,5788193,10839599,-0.9051264540032923
APEX1,1,157,6194969,7312922,-0.2393509111982024
APEX1,1,158,12639550,22142798,-0.808892434101139
APEX1,1,159,5855016,8223268,-0.49003873454675356
APEX1,1,160,17805356,6585118,1.4350300834538186
APEX1,1,161,28108113,15963207,0.8162360862335377
APEX1,1,162,17615407,14660661,0.26488765714551143
APEX1,1,163,7652906,9890351,-0.3700140426230692
APEX1,1,164,5199138,5659941,-0.12251456530273425
APEX1,1,165,6917666,8702764,-0.33118831511136243
APEX1,1,166,28386399,19911488,0.5115988066485595
APEX1,1,167,9605156,5265703,0.8671828935444262
APEX1,1,168,23328859,21418825,0.12323640924584212
APEX1,1,169,11582762,11374638,0.0261586842433537
APEX1,1,170,13300816,12184387,0.12648108674704173
APEX1,1,171,28825943,17734467,0.7008118328887027
APEX1,1,172,10729270,9884214,0.1183537696363365
APEX1,1,173,5596984,10790972,-0.9471032932171333
APEX1,1,174,5590813,5198114,0.10506981695398918
APEX1,1,175,12839728,6012453,1.09458902403728
APEX1,1,176,8091945,5734440,0.49683390818570333
APEX1,1,177,15386665,13688625,0.16870302947548765
APEX1,1,178,16550962,16023603,0.04671649140406194
PIM2,0,1,19332950,13886276,0.4774020426086487
PIM2,0,2,36100856,23772848,0.6027182964864503
PIM2,0,3,12358199,10584876,0.22346414146224303
PIM2,0,4,8480019,9333788,-0.13839520224474267
PIM2,0,5,18926396,11906876,0.6686047726794185
PIM2,0,6,4745491,5796631,-0.288657284161489
PIM2,0,7,7506975,13212990,-0.8156533909356466
PIM2,0,8,6246701,5723673,0.1261532249779223
PIM2,0,9,13497962,15194984,-0.17085355841628663
PIM2,0,10,6908447,7694633,-0.15549108485542237
PIM2,0,11,5530651,6384163,-0.20704818010293036
PIM2,0,12,6974531,4479257,0.6388367626156317
PIM2,0,13,6443589,5192217,0.3115137960278589
PIM2,0,14,14933586,12775747,0.22515299299783603
PIM2,0,15,7821080,7228701,0.1136314229769753
PIM2,0,16,7312948,6383121,0.19619110739372633
PIM2,0,17,4612644,9603880,-1.0580234265732036
PIM2,0,18,18072636,10650923,0.7628284884829726
PIM2,0,19,5871390,4545551,0.3692469043455375
PIM2,0,20,10208564,11520559,-0.17443077881164895
PIM2,0,21,6646839,11246642,-0.7587539943063621
PIM2,0,22,20232037,7164731,1.4976571358955904
PIM2,0,23,9236261,8315691,0.1514727910693785
PIM2,0,24,13572143,13956410,-0.040279349691343586
PIM2,0,25,10653499,10844743,-0.02566852198660256
PIM2,0,26,8083501,5727266,0.49713365565541295
PIM2,0,27,6712372,7166508,-0.0944476408037746
PIM2,0,28,5929250,8939308,-0.5923135278041194
PIM2,0,29,6191401,8682797,-0.48789395296049465
PIM2,0,30,10734635,10730289,0.0005842045127559217
PIM2,0,31,13088822,16713534,-0.3526815569861177
PIM2,0,32,16823859,18868557,-0.16547543091023434
PIM2,0,33,13547340,10981433,0.3029432801526331
PIM2,0,34,15820596,13199918,0.26127498327605353
PIM2,0,35,4808219,4407309,0.12560455931345615
PIM2,0,36,12352084,4803873,1.3624845526303717
PIM2,0,37,7702319,8949043,-0.21644053536443741
PIM2,0,38,6984265,6219125,0.16739668475775035
PIM2,0,39,9271859,8152876,0.18554955428545644
PIM2,0,40,9864497,7698732,0.3576246384747039
PIM2,0,41,6645289,8674604,-0.3844659565582766
PIM2,0,42,16750642,10325804,0.6979622717921358
PIM2,0,43,16825694,11635271,0.5321611987944055
PIM2,0,44,12361260,19511105,-0.6584696798489248
PIM2,0,45,13615939,13872193,-0.026899396816369228
PIM2,0,46,17802299,11573055,0.6212938132674202
PIM2,0,47,13082473,13339487,-0.028067904025563972
PIM2,0,48,18594377,13332275,0.47994343080434876
PIM2,0,49,12418608,11892022,0.0625094338221121
PIM2,0,50,10581292,10577703,0.0004894214069625811
PIM2,0,51,11770956,11694151,0.009444371025259782
PIM2,0,52,6443570,5195571,0.31057790970893145
PIM2,0,53,19706203,13987924,0.49446796139817933
PIM2,0,54,5789473,5919264,-0.0319857730368602
PIM2,0,55,7824242,4921964,0.6687168870944916
PIM2,0,56,4474141,6903844,-0.6257891427689298
PIM2,0,57,17275963,9406260,0.8770730162013689
PIM2,0,58,5712160,6117163,-0.09882632870238711
PIM2,0,59,5123865,6043930,-0.23825448643226016
PIM2,0,60,15115324,12025401,0.3299269007308282
PIM2,0,61,19309891,11298098,0.7732601008068597
PIM2,0,62,8216114,7823925,0.07056365872919483
PIM2,0,63,12749401,5470512,1.220681696936401
PIM2,0,64,10390361,5456946,0.9290801072381841
PIM2,0,65,8336199,4338221,0.9422861683088085
PIM2,0,66,12939563,14453042,-0.1595842806337924
PIM2,0,67,6167064,6232346,-0.015191511192688764
PIM2,0,68,10387236,10783783,-0.054051560647660944
PIM2,0,69,13158480,8883009,0.5668724879338122
PIM2,0,70,5189398,9463595,-0.8668211466618359
PIM2,0,71,13207107,12811583,0.04386573449363101
PIM2,0,72,11244084,11245365,-0.00016435194560598764
PIM2,0,73,14852178,11623978,0.3535706331988914
PIM2,0,74,5379621,4790560,0.16731022505625825
PIM2,0,75,13273150,9199655,0.528859129268724
PIM2,0,76,15755917,14704249,0.09966061979359235
PIM2,0,77,4861749,8797243,-0.8555760505982075
PIM2,0,78,6512411,5594907,0.21907760079862673
PIM2,0,79,6441516,6307368,0.030362155229524262
PIM2,0,80,10441311,9126243,0.19420989320752574
PIM2,0,81,16943468,13401678,0.33831554740544206
PIM2,0,82,21286262,13741419,0.6313916348592921
PIM2,0,83,19097491,6307408,1.5982639482949277
PIM2,0,84,10258505,11830849,-0.20573310904927428
PIM2,0,85,4470863,9132894,-1.0305187506271645
PIM2,0,86,6376239,6645555,-0.05968398369186505
PIM2,0,87,6241616,7488847,-0.2628240134154213
PIM2,0,88,10913610,11571786,-0.08448315374495816
PIM2,0,89,21271688,15819607,0.42722076192688596
PIM2,0,90,5914939,10504778,-0.8286104780845601
PIM2,0,91,13823812,12172100,0.1835774110076946
PIM2,0,92,12410423,17465673,-0.49296994528781884
PIM2,0,93,5059110,9858105,-0.9624267394903118
PIM2,0,94,8277557,8605492,-0.0560526373423087
PIM2,0,95,4409394,7101505,-0.6875444086491809
PIM2,0,96,9389374,6506552,0.5291357527043041
PIM2,0,97,7823155,6309674,0.3101850814868364
PIM2,0,98,15462224,12316490,0.328156673484291
PIM2,0,99,7313464,9485384,-0.3751512837498381
PIM2,0,100,10053185,10576702,-0.07323719883931085
PIM2,0,101,11372597,10512944,0.1133950077789812
PIM2,0,102,11055937,9680713,0.1916360866355298
PIM2,0,103,6842424,9526840,-0.47749025412303486
PIM2,0,104,12227916,9263176,0.4005997166222925
PIM2,0,105,11557978,6902095,0.7437827927488179
PIM2,0,106,4795430,5910577,-0.3016387898395185
PIM2,0,107,5709105,4726056,0.27262787195409033
PIM2,0,108,14322769,5063981,1.4999665367772181
PIM2,0,109,16037724,14922837,0.10394758137408949
PIM2,0,110,5457198,6704945,-0.29706510885862103
PIM2,0,111,11306314,7887684,0.5194550092443424
PIM2,0,112,13943368,10844726,0.36258548144597186
PIM2,0,113,21409689,14452343,0.5669604390702828
PIM2,0,114,12877887,12414016,0.05292598540957918
PIM2,0,115,5002018,5264160,-0.0736930901847989
PIM2,0,116,16553309,8745012,0.9205873710934844
PIM2,0,117,18460515,12670775,0.5429380322426108
PIM2,0,118,16893027,15045733,0.16707346878416093
PIM2,0,119,5262653,5262403,6.853621686953604e-05
PIM2,0,120,7436605,7302967,0.02616143305215122
PIM2,0,121,17212037,12613475,0.44845205520768006
PIM2,0,122,13867325,10321980,0.42596977900063177
PIM2,0,123,12414024,5191466,1.2577569413373513
PIM2,0,124,14268746,5719850,1.318809331306721
PIM2,0,125,13873986,12556858,0.14390681830508464
PIM2,0,126,17290072,18723937,-0.11493993924754818
PIM2,0,127,8550715,13671232,-0.6770262925580828
PIM2,0,128,9803367,6057010,0.694671539642114
PIM2,0,129,5651776,5782341,-0.03294940321515879
PIM2,0,130,7625794,8739913,-0.1967313594994173
PIM2,0,131,6316086,8942395,-0.5016304583461663
PIM2,0,132,14058849,13130821,0.09852136253882444
PIM2,0,133,14780527,11825515,0.32179469556494456
PIM2,0,134,15118405,13542997,0.15875890676427795
